,id_target,disposition,period,duration
514,229650439,CANDIDATE,9.4280779,1.68
515,232982558,CANDIDATE,27.6439289,5.265
517,233617847,CANDIDATE,15.517492,5.275
518,233617847,CANDIDATE,4.6274236,3.76
519,233951353,CANDIDATE,22.0922114,5.185
521,237232044,CANDIDATE,23.5406541,4.179
523,259172391,CANDIDATE,9.8130697,3.91
524,259172391,CANDIDATE,4.7842093,2.947
525,294471966,CANDIDATE,6.3170171,2.4097402
527,343628284,CANDIDATE,8.0970819,3.127852
529,356158613,CANDIDATE,2.3691822,1.6538646
530,265612438,CANDIDATE,5.13002,4.78
531,377293776,CANDIDATE,2.0439176,0.958
532,417931607,CANDIDATE,16.5379353,2.755
534,198390247,CANDIDATE,6.5886826,1.699
535,198390247,CANDIDATE,4.3135213,1.913
536,294179385,CANDIDATE,2.679411,2.836
541,16920150,CANDIDATE,9.155934,3.1412022
547,229944666,CANDIDATE,11.3126774,2.62
549,237086564,CANDIDATE,1.8718991,1.475
550,240968774,CANDIDATE,5.9733839,1.6056978
551,243185500,CANDIDATE,15.5324385,1.7640717
552,243185500,CANDIDATE,1.880531,1.1911684
556,284441182,CANDIDATE,2.5270827,1.2953183
557,306263608,CANDIDATE,20.7729752,4.821
558,306263608,CANDIDATE,683.3281731,6.5572928
559,306955329,CANDIDATE,6.3627086,2.5475548
560,352413427,CANDIDATE,5.254492,2.958
562,431514478,CANDIDATE,8.4953513,0.9060555
568,335483600,CANDIDATE,3.354097,1.9044474
569,197650870,CANDIDATE,4.37035,2.301
570,252616865,CANDIDATE,5.7121916,4.643
578,260985861,CANDIDATE,3.339935,4.2844448
579,283474780,CANDIDATE,3.9943,4.876
580,53875855,CANDIDATE,4.4894184,3.1351598
595,331034236,CANDIDATE,3.4265253,4.267
596,64836837,CANDIDATE,10.91188,2.427
598,415741431,CANDIDATE,2.1568,2.246
603,434718964,CANDIDATE,1.5974044,5.7481362
612,269238073,CANDIDATE,6.15501,4.178
613,366074069,CANDIDATE,4.18129,4.677
619,202375913,CANDIDATE,5.0617698,4.1598677
625,327579226,CANDIDATE,8.9054092,2.577
626,345143460,CANDIDATE,3.6458044,1.805
629,445137888,CANDIDATE,2.0139,1.661
630,173612049,CANDIDATE,6.4902646,2.545
631,177244357,CANDIDATE,6.54692,4.589
638,455791689,CANDIDATE,1.2923638,2.549064
640,194203348,CANDIDATE,1.13345,1.894
642,440100539,CANDIDATE,12.6017,4.835
644,129637892,CANDIDATE,5.45001,4.353
646,288348498,CANDIDATE,1.67546,1.202
654,241040309,CANDIDATE,3.46479,1.009
656,241076290,CANDIDATE,0.25792,0.475
659,249945230,CANDIDATE,,5.816
661,251384275,CANDIDATE,,5.661
673,327011842,CANDIDATE,0.78424,1.301
679,370759867,CANDIDATE,,4.23
684,445144327,CANDIDATE,1.80794,2.17
686,50120414,CANDIDATE,3.5804,3.598
