,id_target,disposition,period,duration,koi_time0bk
3435,4055765,CANDIDATE,9.9664004,5.0127,141.15324
3436,5131180,CANDIDATE,14.85185526,3.5263,177.9987
3442,10843431,CANDIDATE,56.391062,5.7,167.579
3446,10287242,CANDIDATE,22.34213536,6.461,171.55939
3455,5596440,CANDIDATE,10.47490332,33.7939,171.99906
3463,9588822,CANDIDATE,61.858947,21.32,191.9736
3467,8456679,CANDIDATE,1.73513619,2.2741,135.060047
3492,8456679,CANDIDATE,4.06844957,2.8349,132.27614
3499,10610039,CANDIDATE,3.07365139,2.102,134.17117
3505,1025986,CANDIDATE,275.07365,3.37,315.2486
3511,11284772,CANDIDATE,4.50158249,1.855,134.1153
3516,4832837,CANDIDATE,5.06546874,2.203,131.94499
3518,5441980,CANDIDATE,5.89399142,1.2737,173.485973
3528,10972902,CANDIDATE,7.6720844,3.451,134.1756
3534,6309763,CANDIDATE,3.251659087,1.5286,171.0604906
3545,9413156,CANDIDATE,66.47762,4.487,184.2673
3547,9846348,CANDIDATE,26.89316101,2.3266,179.95245
3556,2696205,CANDIDATE,0.702739679,1.379,131.533
3586,12251650,CANDIDATE,17.761998411,2.4644,174.1831018
3587,12417486,CANDIDATE,155.042265,9.848,213.49978
3590,2834805,CANDIDATE,25.0032023,5.498,140.90106
3602,2569995,CANDIDATE,80.84069,8.567,177.3473
3619,2577353,CANDIDATE,60.458443,8.43,136.3553
3624,4478168,CANDIDATE,8.0292018,3.462,132.8283
3642,7256914,CANDIDATE,2.41750021,4.33,133.80584
3643,7256914,CANDIDATE,4.03357434,5.886,134.23275
3645,6871071,CANDIDATE,7.66462913,3.614,137.38342
3662,3112129,CANDIDATE,0.487656278,1.0129,132.16692
3665,3103212,CANDIDATE,3.25424652,5.378,133.5121
3668,6871071,CANDIDATE,11.9294568,3.193,133.74078
3674,10875007,CANDIDATE,9.54699216,5.063,140.15819
3675,10875007,CANDIDATE,14.708641,5.394,133.85125
3686,4548098,CANDIDATE,3.82315697,2.388,133.06936
3689,7021681,CANDIDATE,13.6032081,2.592,140.3975
3705,11967788,CANDIDATE,7.23531329,3.338,133.12054
3713,7199060,CANDIDATE,64.1862264,8.485,191.65639
3715,4458082,CANDIDATE,8.93484887,2.579,133.39108
3718,11967788,CANDIDATE,4.93211932,3.144,132.4538
3719,7733731,CANDIDATE,4.85819429,5.356,135.14503
3722,3110177,CANDIDATE,3.39904814,2.922,134.6684
3727,5942808,CANDIDATE,0.626281766,1.1812,131.90594
3728,3232249,CANDIDATE,1.183505016,1.275,131.75303
3735,7449554,CANDIDATE,15.9042402,2.093,131.50051
3738,8282651,CANDIDATE,4.16288745,0.678,131.67875
3741,5688683,CANDIDATE,4.44902309,1.373,131.75425
3742,8222627,CANDIDATE,1.121733366,1.032,131.56919
3758,2984990,CANDIDATE,3.79437277,2.289,132.1265
3761,7758018,CANDIDATE,363.41165,14.79,404.2733
3762,9071593,CANDIDATE,59.284064,5.42,148.75407
3767,8264402,CANDIDATE,215.956008,10.425,271.3671
3770,3129238,CANDIDATE,2.00870696,4.87,131.51
3773,7907808,CANDIDATE,0.655939788,1.318,132.09997
3804,9700449,CANDIDATE,110.461746,12.46,147.5465
3807,6140059,CANDIDATE,44.6226725,12.974,137.942
3814,3852872,CANDIDATE,80.769893,4.2,188.5556
3823,9086154,CANDIDATE,225.26213,14.459,224.9887
3826,11970988,CANDIDATE,2.31482311,2.127,133.04857
3832,6792908,CANDIDATE,10.778313,5.256,136.6142
3836,10534155,CANDIDATE,4.32710895,1.387,133.40886
3837,10397751,CANDIDATE,2.90512019,2.293,132.56693
3839,6350882,CANDIDATE,5.04404366,1.682,136.00785
3842,3450040,CANDIDATE,1.166960319,1.6823,131.64332
3845,9456281,CANDIDATE,0.701944362,0.641,132.00161
3846,5129453,CANDIDATE,3.05772668,1.819,133.06692
3847,7918478,CANDIDATE,9.9092109,2.552,133.092
3854,9509343,CANDIDATE,6.39269778,2.138,135.6101
3858,7673841,CANDIDATE,7.87845756,3.912,138.58644
3869,11968463,CANDIDATE,27.9040511,5.346,154.9434
3876,5436161,CANDIDATE,0.644322147,0.893,131.954907
3878,4571844,CANDIDATE,17.8075656,1.643,146.88323
3881,2859893,CANDIDATE,333.03842,5.948,220.9235
3882,6026737,CANDIDATE,3.75030469,3.246,134.80628
3883,7582691,CANDIDATE,0.259819659,0.6513,131.85061
3885,9836563,CANDIDATE,4.72693131,4.036,135.2927
3886,1724719,CANDIDATE,10.0989634,6.428,132.3351
3895,11081504,CANDIDATE,13.12297275,2.234,136.08882
3900,12016267,CANDIDATE,22.7909233,9.565,134.4333
3903,3550372,CANDIDATE,0.681180633,0.8844,131.63459
3908,8240790,CANDIDATE,369.13236,10.34,235.5195
3914,4548011,CANDIDATE,9.08745206,3.786,139.99222
3921,7191646,CANDIDATE,106.957467,7.006,224.9874
3924,7801070,CANDIDATE,75.8781344,1.383,194.67762
3926,4172805,CANDIDATE,147.661729,6.207,243.95262
3927,5126182,CANDIDATE,13.00291716,3.058,132.02306
3929,8949925,CANDIDATE,42.0292298,8.499,138.8086
3931,9642018,CANDIDATE,0.505111993,0.4053,131.51614
3940,7661893,CANDIDATE,2.49385348,1.414,133.15177
3943,9776794,CANDIDATE,18.22211768,2.044,553.06646
3945,7673192,CANDIDATE,16.5340022,4.063,135.409
3951,11124436,CANDIDATE,13.9482197,7.686,132.7505
3952,5780855,CANDIDATE,5.67577999,3.554,134.91027
3954,9491832,CANDIDATE,49.564693,8.54,170.6973
3959,2852941,CANDIDATE,2.89494709,3.254,132.62547
3965,10647452,CANDIDATE,0.762950224,1.133,131.9157
3967,4773392,CANDIDATE,170.995748,3.88,163.95737
3971,9936080,CANDIDATE,19.5650801,4.242,136.28555
3981,6290935,CANDIDATE,5.53312006,3.486,132.1648
3982,12734396,CANDIDATE,200.721168,9.91,280.0733
3991,8278685,CANDIDATE,10.8614163,6.02,136.8213
3994,6103377,CANDIDATE,7.03965141,3.141,137.41892
3995,3660581,CANDIDATE,4.72519164,3.751,131.9997
3997,10794974,CANDIDATE,66.6434565,2.385,170.08058
4002,3558849,CANDIDATE,160.850075,9.427,144.5039
4006,5175024,CANDIDATE,6.2614227,4.779,133.2299
4007,10991114,CANDIDATE,3.70386741,1.41,132.69596
4010,4945764,CANDIDATE,19.8751355,8.041,148.3935
4017,9834731,CANDIDATE,7.2929891,4.053,135.6364
4021,9514372,CANDIDATE,145.786556,4.891,215.0441
4024,3762750,CANDIDATE,2.5093344,1.833,133.1123
4032,9886361,CANDIDATE,24.5607107,8.679,146.7938
4041,12737015,CANDIDATE,24.6683831,8.556,136.633
4044,8482059,CANDIDATE,349.41047,15.02,241.4685
4049,9286088,CANDIDATE,14.8162925,4.973,138.3761
4051,6937529,CANDIDATE,3.98167088,3.609,134.9767
4056,5197233,CANDIDATE,7.016016,3.8,133.9561
4058,7119481,CANDIDATE,42.068554,5.723,165.0211
