,id_target,disposition,period,duration
688,TIC 444010408,CANDIDATE,0.463954,0.9888
689,TIC 366528275,CANDIDATE,5.264,4.18488
690,TIC 443996667,CANDIDATE,1.529084,2.1936
691,TIC 396847085,CANDIDATE,2.084,1.95504
692,TIC 396847085,CANDIDATE,4.166738,2.7312
693,TIC 443970567,CANDIDATE,1.567,1.74792
694,TIC 443970567,CANDIDATE,1.56706496,2.144
695,TIC 443970567,CANDIDATE,1.56699,2.112
696,TIC 437026476,CANDIDATE,7.757595,
697,TIC 458686504,CANDIDATE,4.8718955,
698,TIC 458686504,CANDIDATE,4.8717993,4.125
699,TIC 458686504,CANDIDATE,4.871902,4.6
700,TIC 323658556,CANDIDATE,8.514184,11.0
702,TIC 323492710,CANDIDATE,16.168833,3.1944
704,TIC 437026363,CANDIDATE,36.0861607,
705,TIC 437026363,CANDIDATE,36.109,3.192
707,TIC 458655713,CANDIDATE,9.967689,4.3
710,TIC 468988377,CANDIDATE,3.25182,2.7192
711,TIC 21245173,CANDIDATE,5.032134,8.5992
712,TIC 21245173,CANDIDATE,5.03207,
713,TIC 458655766,CANDIDATE,6.45795,1.032
715,TIC 21184505,CANDIDATE,5.176243,
716,TIC 21184505,CANDIDATE,5.176,1.04904
718,TIC 21221785,CANDIDATE,1.610911,1.0704
719,TIC 21221785,CANDIDATE,1.61092,
720,TIC 21221785,CANDIDATE,1.610888,1.2048
721,TIC 21221785,CANDIDATE,1.611,1.05888
722,TIC 21221785,CANDIDATE,2.177846,1.2888
723,TIC 21221785,CANDIDATE,2.178008,1.2768
724,TIC 21221785,CANDIDATE,2.17807,
725,TIC 21221785,CANDIDATE,4.96883,
726,TIC 21221785,CANDIDATE,4.96792,1.296
727,TIC 21221785,CANDIDATE,6.26561,1.512
728,TIC 21221785,CANDIDATE,3.28963,2.04
732,TIC 46384262,CANDIDATE,0.93346092,2.338
735,TIC 46305284,CANDIDATE,5.81861,3.888
737,TIC 321287850,CANDIDATE,4.332837,2.4
738,TIC 20444600,CANDIDATE,1.1524,
739,TIC 437045133,CANDIDATE,20.486455,2.0
740,TIC 293462073,CANDIDATE,18.645046,5.0592
741,TIC 293462073,CANDIDATE,18.6393,5.64
742,TIC 293462073,CANDIDATE,18.641,5.22
743,TIC 293462073,CANDIDATE,18.634179,
744,TIC 6992156,CANDIDATE,5.19287,2.472
745,TIC 6992156,CANDIDATE,3.39934,2.184
747,TIC 46384144,CANDIDATE,12.17682,2.9
752,TIC 437054922,CANDIDATE,7.07737,3.072
755,TIC 186817940,CANDIDATE,6.3508198,
757,TIC 293376547,CANDIDATE,0.635328,1.3032
758,TIC 357245718,CANDIDATE,16.24196986,4.391
761,TIC 437041827,CANDIDATE,2.047195,1.8936
762,TIC 27629918,CANDIDATE,24.4472,6.36
763,TIC 21245633,CANDIDATE,10.542179,3.3
764,TIC 437054764,CANDIDATE,20.35507391,3.5018936
765,TIC 437054764,CANDIDATE,20.358748,3.5904
766,TIC 437054764,CANDIDATE,20.35919,3.6504
767,TIC 437054764,CANDIDATE,20.359,2.93808
768,TIC 437054764,CANDIDATE,20.35954,
770,TIC 6997053,CANDIDATE,5.31471,1.896
771,TIC 330621757,CANDIDATE,3.84981,3.36
775,TIC 321287452,CANDIDATE,2.126953,1.416
777,TIC 386617915,CANDIDATE,20.2244,4.176
779,TIC 20536788,CANDIDATE,42.3822512,
780,TIC 20536788,CANDIDATE,41.9,
783,TIC 330693022,CANDIDATE,9.81881482,3.206
784,TIC 293379254,CANDIDATE,1.518232,3.0816
785,TIC 46299496,CANDIDATE,1.63013,2.2848
786,TIC 330637910,CANDIDATE,2.00745283,0.9340475
787,TIC 330637910,CANDIDATE,2.007472,0.9048
788,TIC 6992808,CANDIDATE,37.4059,3.84
789,TIC 46364379,CANDIDATE,3.544965,1.464
791,TIC 408826742,CANDIDATE,34.023,3.0
793,TIC 7020982,CANDIDATE,10.39528014,4.442
794,TIC 437055818,CANDIDATE,11.00357542,1.503
795,TIC 437055818,CANDIDATE,11.007537,1.5408
796,TIC 60285925,CANDIDATE,9.0102,4.872
797,TIC 60285925,CANDIDATE,9.01258853,3.639
798,TIC 330691943,CANDIDATE,35.383,3.09408
799,TIC 330691943,CANDIDATE,35.3972,4.68
801,TIC 437055868,CANDIDATE,26.0,
805,TIC 257217518,CANDIDATE,37.24703,4.9296
806,TIC 257217518,CANDIDATE,37.246869,
809,TIC 437042281,CANDIDATE,1.882213,0.9648
812,TIC 46362146,CANDIDATE,1.8554,2.8008
814,TIC 46362153,CANDIDATE,1.855827,3.0168
815,TIC 21222860,CANDIDATE,15.7512,2.568
816,TIC 46362156,CANDIDATE,1.855421,5.6832
822,TIC 46256423,CANDIDATE,5.513327,0.9264
824,TIC 330690093,CANDIDATE,0.53027,1.0632
827,TIC 27682121,CANDIDATE,20.9913,2.928
828,TIC 337648770,CANDIDATE,23.897707,1.4832
829,TIC 337648770,CANDIDATE,23.89959502,2.0395157
831,TIC 20483642,CANDIDATE,23.5306712,
832,TIC 60256710,CANDIDATE,10.6741,3.768
833,TIC 60256710,CANDIDATE,10.673,3.43608
834,TIC 46309013,CANDIDATE,3.78795,1.6512
838,TIC 46362325,CANDIDATE,1.855516,4.0752
840,TIC 333801043,CANDIDATE,4.894289,2.1048
841,TIC 437043882,CANDIDATE,12.601781,3.4
842,TIC 293496731,CANDIDATE,6.96350934,2.189
843,TIC 27635603,CANDIDATE,0.769057,
844,TIC 46260231,CANDIDATE,1.91828,
850,TIC 46378204,CANDIDATE,15.462807,4.0
852,TIC 437043712,CANDIDATE,5.51633,1.92
853,TIC 27651759,CANDIDATE,0.36091387,1.692
855,TIC 337647366,CANDIDATE,4.746159,2.9
856,TIC 337647366,CANDIDATE,4.7464962,
857,TIC 337647366,CANDIDATE,4.7464485,2.408
858,TIC 21224455,CANDIDATE,8.952623,2.6
859,TIC 21223416,CANDIDATE,1.99043,
860,TIC 21223416,CANDIDATE,1.990422,2.0736
861,TIC 21223416,CANDIDATE,1.99067602,1.862
863,TIC 21337019,CANDIDATE,8.658168,
864,TIC 21337019,CANDIDATE,8.658143,1.6968
865,TIC 21337019,CANDIDATE,8.657975,0.984
866,TIC 21337019,CANDIDATE,8.65871336,1.56
867,TIC 21337019,CANDIDATE,8.658,1.098
868,TIC 21288020,CANDIDATE,14.5616,3.144
871,TIC 293459807,CANDIDATE,2.787663,0.7464
874,TIC 437042880,CANDIDATE,13.798845,3.0
875,TIC 284850530,CANDIDATE,3.41052823,2.124
876,TIC 284850530,CANDIDATE,3.41065,1.944
878,TIC 21220097,CANDIDATE,1.56493,
