loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
3092,11073351,K00537.01,CONFIRMED,2.820190603,2455003.788,2.55400,11111110111011101000000000000000
3093,11090765,K00538.01,CONFIRMED,21.217123120,2455004.649,5.89000,11111111111111111000000000000000
3094,11246364,K00539.01,FALSE POSITIVE,200.000000000,2455004.274,7.27000,
3095,9570741,K00586.01,CONFIRMED,15.779801220,2455008.969,4.03690,11111111111111111000000000000000
3096,9607164,K00587.01,CONFIRMED,14.034902550,2455004.605,3.63800,11111101110111011000000000000000
3097,9631762,K00588.01,CONFIRMED,10.355864780,2455008.681,2.84310,11111111111111111000000000000000
3098,6462863,K00094.01,CONFIRMED,22.342964828,2454965.742,6.66405,10011001100110011000000000000000
3099,9782691,K00590.01,CONFIRMED,11.388402170,2455007.554,3.69490,11111101110111011000000000000000
3100,11709124,K00435.01,CONFIRMED,20.549818400,2455011.946,5.54840,11111111111111111000000000000000
3101,11709124,K00435.02,CANDIDATE,934.094184620,2455490.269,17.48900,
3102,11805075,K00436.01,CANDIDATE,199.839205270,2455058.359,4.37800,11111110111011101000000000000000
3103,11599038,K01437.03,FALSE POSITIVE,17.421732200,2454978.901,4.71800,11111110111011101000000000000000
3104,11824222,K00437.01,CANDIDATE,15.841326270,2455010.142,1.82150,11111111111111111000000000000000
3105,12302530,K00438.01,CONFIRMED,5.931196562,2455007.797,2.49990,11111111111111111000000000000000
3106,11904151,K00072.01,CONFIRMED,0.837491225,2454964.575,1.79600,11111110111011101000000000000000
3107,3239945,K00490.03,CONFIRMED,7.406116760,2454967.075,2.88260,11111111111111111000000000000000
3108,3239945,K00490.04,CONFIRMED,21.803708000,2454972.072,3.36900,11111111111111111000000000000000
3109,3541800,K00491.01,FALSE POSITIVE,4.662290740,2455002.656,3.73000,11111111111111111000000000000000
3110,3559935,K00492.01,CONFIRMED,29.911188600,2455027.711,6.64360,11111011101110111000000000000000
3111,3834360,K00493.01,FALSE POSITIVE,2.908453928,2455003.125,2.53630,11111111111111111000000000000000
3112,3966801,K00494.01,CONFIRMED,25.695814560,2455021.789,4.02510,11111011101110111000000000000000
3113,11521048,K00540.01,FALSE POSITIVE,25.702800030,2455027.825,3.16440,11111111111111111000000000000000
3114,11656721,K00541.01,CONFIRMED,13.646174780,2455013.350,3.40980,11111111111111111000000000000000
3115,11853905,K00007.01,CONFIRMED,3.213668926,2454956.612,3.98235,11111110111011101000000000000000
3116,5866724,K00085.03,CONFIRMED,8.131213890,2454970.993,4.23860,11111111111111111000000000000000
3117,11669239,K00542.01,CONFIRMED,41.885443300,2455011.692,6.76300,11111111111111111000000000000000
3118,11669239,K00542.02,CONFIRMED,13.817335870,2454968.034,4.26100,11111111111111111000000000000000
3119,10600261,K00597.03,CONFIRMED,52.814805100,2454997.905,7.30900,11111111111111111000000000000000
3120,10656823,K00598.01,CONFIRMED,8.307839120,2455004.172,3.15160,11111111111111111000000000000000
3121,10656823,K00598.02,CONFIRMED,34.096344100,2454986.827,3.89600,11111111111111111000000000000000
3122,10676824,K00599.01,CONFIRMED,6.454429310,2455006.215,2.67720,11111101110111011000000000000000
3123,10718726,K00600.01,CONFIRMED,3.595769013,2455003.369,3.15690,11111110111011101000000000000000
3124,12302530,K00438.02,CONFIRMED,52.661526600,2455016.521,3.15920,11111111111111111000000000000000
3125,12470954,K00439.01,CONFIRMED,1.902208647,2455003.450,2.19877,11111111111111111000000000000000
3126,6268648,K01613.03,CANDIDATE,20.605501000,2454979.507,3.79300,11110111011101110000000000000000
3127,2438264,K00440.01,CONFIRMED,15.906888910,2455010.930,3.98790,11111111111111111000000000000000
3128,2438264,K00440.02,CONFIRMED,4.973455252,2455003.886,1.65190,11111111111111111000000000000000
3129,3340312,K00441.01,FALSE POSITIVE,30.552897200,2455006.903,5.26900,11111111111111111000000000000000
3130,4049108,K00495.01,FALSE POSITIVE,4.804469031,2455002.635,3.45870,11111111111111111000000000000000
3131,4454752,K00496.01,CONFIRMED,1.616883373,2455002.804,1.63250,11111111111111111000000000000000
3132,8212002,K02593.02,CANDIDATE,9.553913400,2454968.528,5.26100,11111111111111111000000000000000
3133,4757437,K00497.01,CONFIRMED,13.193228090,2455008.610,5.00360,11111011101110111000000000000000
